Sex,Worm,Distance,Gray_Value,Annotation
Male,0329_e3,181.025,19.125,
Male,0329_e3,181.35,17.3864,
Male,0329_e3,181.675,17.3864,
Male,0329_e3,182,14.4886,
Male,0329_e3,182.325,12.1705,NERVE RING
Male,0329_e3,182.65,8.6932,
Male,0329_e3,182.975,5.7955,
Male,0329_e3,183.3,7.5341,
Male,0329_e3,183.625,9.2727,
Male,0329_e3,183.95,9.8523,
Male,0329_e3,184.275,10.4318,
Male,0329_e3,184.6,9.2727,
Male,0329_e3,184.925,9.8523,
Male,0329_e3,185.25,8.6932,
Male,0329_e3,185.575,11.0114,
Male,0329_e3,185.9,10.4318,
Male,0329_e3,186.225,9.2727,
Male,0329_e3,186.55,11.0114,
Male,0329_e3,186.875,14.4886,
Male,0329_e3,187.2,20.8636,
Male,0329_e3,187.525,21.4432,
Male,0329_e3,187.85,22.0227,
Male,0329_e3,188.175,22.6023,
Male,0329_e3,188.5,23.1818,
Male,0329_e3,188.825,21.4432,
Male,0329_e3,189.15,21.4432,
Male,0329_e3,189.475,21.4432,
Male,0329_e3,189.8,22.0227,
Male,0329_e3,190.125,21.4432,
Male,0329_e3,190.45,21.4432,
Male,0329_e3,190.775,21.4432,
Male,0329_e3,191.1,28.9773,
Male,0329_e3,191.425,31.2955,
Male,0329_e3,191.75,33.0341,
Male,0329_e3,192.075,32.4545,
Male,0329_e3,192.4,33.0341,
Male,0329_e3,192.725,34.1932,
Male,0329_e3,193.05,35.3523,
Male,0329_e3,193.375,38.8295,
Male,0329_e3,193.7,38.8295,
Male,0329_e3,194.025,39.4091,
Male,0329_e3,194.35,39.9886,
Male,0329_e3,194.675,44.625,
Male,0329_e3,195,45.7841,
Male,0329_e3,195.325,46.3636,
Male,0329_e3,195.65,45.2045,
Male,0329_e3,195.975,45.2045,
Male,0329_e3,196.3,46.9432,
Male,0329_e3,196.625,46.3636,
Male,0329_e3,196.95,44.0455,
Male,0329_e3,197.275,41.7273,
Male,0329_e3,197.6,41.7273,
Male,0329_e3,197.925,42.3068,
Male,0329_e3,198.25,45.7841,
Male,0329_e3,198.575,48.6818,
Male,0329_e3,198.9,47.5227,
Male,0329_e3,199.225,48.1023,
Male,0329_e3,199.55,48.6818,
Male,0329_e3,199.875,48.6818,
Male,0329_e3,200.2,46.9432,
Male,0329_e3,200.525,48.6818,
Male,0329_e3,200.85,42.8864,
Male,0329_e3,201.175,43.4659,
Male,0329_e3,201.5,41.1477,
Male,0329_e3,201.825,40.5682,
Male,0329_e3,202.15,42.8864,
Male,0329_e3,202.475,41.1477,
Male,0329_e3,202.8,42.8864,
Male,0329_e3,203.125,41.1477,
Male,0329_e3,203.45,41.1477,
Male,0329_e3,203.775,38.8295,
Male,0329_e3,204.1,35.3523,
Male,0329_e3,204.425,38.8295,
Male,0329_e3,204.75,37.6705,
Male,0329_e3,205.075,34.1932,
Male,0329_e3,205.4,33.0341,
Male,0329_e3,205.725,31.875,
Male,0329_e3,206.05,30.7159,
Male,0329_e3,206.375,31.2955,
Male,0329_e3,206.7,32.4545,
Male,0329_e3,207.025,28.9773,
Male,0329_e3,207.35,26.0795,
Male,0329_e3,207.675,22.6023,
Male,0329_e3,208,20.8636,
Male,0329_e3,208.325,17.3864,
Male,0329_e3,208.65,18.5455,
Male,0329_e3,208.975,14.4886,
Male,0329_e3,209.3,13.3295,
Male,0329_e3,209.625,13.3295,
Male,0329_e3,209.95,12.1705,
Male,0329_e3,210.275,14.4886,
Male,0329_e3,210.6,17.3864,
Male,0329_e3,210.925,20.8636,
Male,0329_e3,211.25,21.4432,
Male,0329_e3,211.575,23.7614,
Male,0329_e3,211.9,23.1818,
Male,0329_e3,212.225,24.3409,
Male,0329_e3,212.55,24.3409,
Male,0329_e3,212.875,22.6023,
Male,0329_e3,213.2,22.6023,
Male,0329_e3,213.525,28.9773,
Male,0329_e3,213.85,28.9773,
Male,0329_e3,214.175,33.0341,
Male,0329_e3,214.5,34.7727,
Male,0329_e3,214.825,35.3523,
Male,0329_e3,215.15,34.1932,
Male,0329_e3,215.475,34.7727,
Male,0329_e3,215.8,37.6705,
Male,0329_e3,216.125,36.5114,
Male,0329_e3,216.45,38.25,
Male,0329_e3,216.775,42.8864,
Male,0329_e3,217.1,42.3068,
Male,0329_e3,217.425,45.2045,
Male,0329_e3,217.75,46.3636,
Male,0329_e3,218.075,48.1023,
Male,0329_e3,218.4,46.3636,
Male,0329_e3,218.725,45.7841,
Male,0329_e3,219.05,43.4659,
Male,0329_e3,219.375,44.0455,
Male,0329_e3,219.7,37.6705,
Male,0329_e3,220.025,33.6136,
Male,0329_e3,220.35,32.4545,
Male,0329_e3,220.675,35.9318,
Male,0329_e3,221,33.0341,
Male,0329_e3,221.325,29.5568,
Male,0329_e3,221.65,24.3409,
Male,0329_e3,221.975,20.8636,
Male,0329_e3,222.3,16.8068,
Male,0329_e3,222.625,19.125,
Male,0329_e3,222.95,13.9091,
Male,0329_e3,223.275,15.6477,
Male,0329_e3,223.6,18.5455,
Male,0329_e3,223.925,21.4432,
Male,0329_e3,224.25,26.0795,
Male,0329_e3,224.575,27.8182,
Male,0329_e3,224.9,33.6136,
Male,0329_e3,225.225,35.3523,
Male,0329_e3,225.55,36.5114,
Male,0329_e3,225.875,39.9886,
Male,0329_e3,226.2,39.9886,
Male,0329_e3,226.525,44.0455,
Male,0329_e3,226.85,48.1023,
Male,0329_e3,227.175,47.5227,
Male,0329_e3,227.5,49.2614,
Male,0329_e3,227.825,53.3182,
Male,0329_e3,228.15,51.5795,
Male,0329_e3,228.475,48.1023,
Male,0329_e3,228.8,46.9432,
Male,0329_e3,229.125,44.625,
Male,0329_e3,229.45,38.8295,
Male,0329_e3,229.775,35.3523,
Male,0329_e3,230.1,34.7727,
Male,0329_e3,230.425,30.1364,
Male,0329_e3,230.75,29.5568,
Male,0329_e3,231.075,32.4545,
Male,0329_e3,231.4,33.0341,
Male,0329_e3,231.725,33.6136,
Male,0329_e3,232.05,35.3523,
Male,0329_e3,232.375,37.6705,
Male,0329_e3,232.7,38.25,
Male,0329_e3,233.025,33.6136,
Male,0329_e3,233.35,27.8182,
Male,0329_e3,233.675,25.5,
Male,0329_e3,234,22.0227,
Male,0329_e3,234.325,21.4432,
Male,0329_e3,234.65,15.6477,
Male,0329_e3,234.975,13.3295,
Male,0329_e3,235.3,6.375,
Male,0329_e3,235.625,6.375,
Male,0329_e3,235.95,6.9545,
Male,0329_e3,236.275,11.0114,
Male,0329_e3,236.6,13.9091,
Male,0329_e3,236.925,17.9659,
Male,0329_e3,237.25,20.8636,
Male,0329_e3,237.575,20.8636,
Male,0329_e3,237.9,23.1818,
Male,0329_e3,238.225,24.9205,
Male,0329_e3,238.55,22.6023,
Male,0329_e3,238.875,24.9205,
Male,0329_e3,239.2,24.3409,
Male,0329_e3,239.525,22.6023,
Male,0329_e3,239.85,22.0227,
Male,0329_e3,240.175,21.4432,
Male,0329_e3,240.5,22.0227,
Male,0329_e3,240.825,19.125,
Male,0329_e3,241.15,20.2841,
Male,0329_e3,241.475,21.4432,
Male,0329_e3,241.8,23.1818,
Male,0329_e3,242.125,24.3409,
Male,0329_e3,242.45,34.1932,
Male,0329_e3,242.775,35.9318,
Male,0329_e3,243.1,37.6705,
Male,0329_e3,243.425,37.0909,
Male,0329_e3,243.75,34.1932,
Male,0329_e3,244.075,33.0341,
Male,0329_e3,244.4,30.7159,
Male,0329_e3,244.725,31.2955,
Male,0329_e3,245.05,30.1364,
Male,0329_e3,245.375,27.8182,
